Economy,Year,Economy Code,"Population, total"
Afghanistan,2023,AFG,42239854.000
Albania,2023,ALB,2745972.000
Algeria,2023,DZA,45606480.000
American Samoa,2023,ASM,43914.000
Andorra,2023,AND,80088.000
Angola,2023,AGO,36684202.000
Antigua and Barbuda,2023,ATG,94298.000
Argentina,2023,ARG,46654581.000
Armenia,2023,ARM,2777970.000
Aruba,2023,ABW,106277.000
Australia,2023,AUS,26638544.000
Austria,2023,AUT,9132383.000
Azerbaijan,2023,AZE,10112555.000
"Bahamas, The",2023,BHS,412623.000
Bahrain,2023,BHR,1485509.000
Bangladesh,2023,BGD,172954319.000
Barbados,2023,BRB,281995.000
Belarus,2023,BLR,9178298.000
Belgium,2023,BEL,11822592.000
Belize,2023,BLZ,410825.000
Benin,2023,BEN,13712828.000
Bermuda,2023,BMU,63489.000
Bhutan,2023,BTN,787424.000
Bolivia,2023,BOL,12388571.000
Bosnia and Herzegovina,2023,BIH,3210847.000
Botswana,2023,BWA,2675352.000
Brazil,2023,BRA,216422446.000
British Virgin Islands,2023,VGB,31538.000
Brunei Darussalam,2023,BRN,452524.000
Bulgaria,2023,BGR,6430370.000
Burkina Faso,2023,BFA,23251485.000
Burundi,2023,BDI,13238559.000
Cabo Verde,2023,CPV,598682.000
Cambodia,2023,KHM,16944826.000
Cameroon,2023,CMR,28647293.000
Canada,2023,CAN,40097761.000
Cayman Islands,2023,CYM,69310.000
Central African Republic,2023,CAF,5742315.000
Chad,2023,TCD,18278568.000
Channel Islands,2023,CHI,175346.000
Chile,2023,CHL,19629590.000
China,2023,CHN,1410710000.000
Colombia,2023,COL,52085168.000
Comoros,2023,COM,852075.000
"Congo, Dem. Rep.",2023,COD,102262808.000
"Congo, Rep.",2023,COG,6106869.000
Costa Rica,2023,CRI,5212173.000
Cote d'Ivoire,2023,CIV,28873034.000
Croatia,2023,HRV,3853200.000
Cuba,2023,CUB,11194449.000
Curacao,2023,CUW,147862.000
Cyprus,2023,CYP,1260138.000
Czechia,2023,CZE,10873689.000
Denmark,2023,DNK,5946952.000
Djibouti,2023,DJI,1136455.000
Dominica,2023,DMA,73040.000
Dominican Republic,2023,DOM,11332972.000
Ecuador,2023,ECU,18190484.000
"Egypt, Arab Rep.",2023,EGY,112716598.000
El Salvador,2023,SLV,6364943.000
Equatorial Guinea,2023,GNQ,1714671.000
Eritrea,2023,ERI,3748901.000
Estonia,2023,EST,1366188.000
Eswatini,2023,SWZ,1210822.000
Ethiopia,2023,ETH,126527060.000
Faroe Islands,2023,FRO,53270.000
Fiji,2023,FJI,936375.000
Finland,2023,FIN,5584264.000
France,2023,FRA,68170228.000
French Polynesia,2023,PYF,308872.000
Gabon,2023,GAB,2436566.000
"Gambia, The",2023,GMB,2773168.000
Georgia,2023,GEO,3760365.000
Germany,2023,DEU,84482267.000
Ghana,2023,GHA,34121985.000
Gibraltar,2023,GIB,32688.000
Greece,2023,GRC,10361295.000
Greenland,2023,GRL,56865.000
Grenada,2023,GRD,126183.000
Guam,2023,GUM,172952.000
Guatemala,2023,GTM,17602431.000
Guinea,2023,GIN,14190612.000
Guinea-Bissau,2023,GNB,2150842.000
Guyana,2023,GUY,813834.000
Haiti,2023,HTI,11724763.000
Honduras,2023,HND,10593798.000
"Hong Kong SAR, China",2023,HKG,7536100.000
Hungary,2023,HUN,9589872.000
Iceland,2023,ISL,393600.000
India,2023,IND,1428627663.000
Indonesia,2023,IDN,277534122.000
"Iran, Islamic Rep.",2023,IRN,89172767.000
Iraq,2023,IRQ,45504560.000
Ireland,2023,IRL,5262382.000
Isle of Man,2023,IMN,84710.000
Israel,2023,ISR,9756700.000
Italy,2023,ITA,58761146.000
Jamaica,2023,JAM,2825544.000
Japan,2023,JPN,124516650.000
Jordan,2023,JOR,11337052.000
Kazakhstan,2023,KAZ,19900177.000
Kenya,2023,KEN,55100586.000
Kiribati,2023,KIR,133515.000
"Korea, Dem. People's Rep.",2023,PRK,26160821.000
"Korea, Rep.",2023,KOR,51712619.000
Kosovo,2023,XKX,1756374.000
Kuwait,2023,KWT,4310108.000
Kyrgyz Republic,2023,KGZ,7100800.000
Lao PDR,2023,LAO,7633779.000
Latvia,2023,LVA,1881750.000
